95584,571,1,21,21,8,2,2,3,1,2,4,2,1,1,0,2,1
95584,571,2,23,16,5,2,2,0,2,1,0,1,0,3,1,1,3
95584,571,3,23,20,8,1,0,1,0,0,1,3,0,3,2,3,6
95584,571,4,21,19,9,0,1,5,0,1,3,2,0,4,0,3,0
95584,571,5,22,17,5,2,3,0,1,0,1,1,3,2,0,2,1
95584,571,6,18,18,11,1,3,1,1,3,0,0,2,2,2,3,0
95584,571,7,19,14,5,0,1,2,0,1,0,2,1,0,0,1,2
95584,571,8,19,19,8,1,3,3,3,1,0,2,2,1,0,1,1
95584,571,9,17,15,7,4,2,2,0,2,0,1,0,3,1,0,0
95584,571,10,19,17,4,2,2,3,2,2,0,2,1,0,1,0,1
95584,571,11,20,19,8,4,1,2,2,1,1,0,0,4,1,3,0
95584,571,12,20,17,10,2,3,1,0,1,1,3,2,0,3,1,0
95584,571,13,23,17,4,0,2,2,3,1,2,2,2,0,2,1,1
95584,571,14,20,18,5,3,1,1,1,0,3,3,1,2,0,1,2
95584,571,15,21,17,7,1,4,2,2,1,1,3,0,0,0,2,1
95584,571,16,19,17,10,0,2,2,1,3,3,0,1,1,2,1,1
95584,571,17,22,17,7,2,1,1,1,1,3,2,1,2,1,1,1
95584,571,18,21,22,5,0,1,3,6,0,2,0,2,2,3,2,1
95584,571,19,19,17,6,3,1,1,0,1,4,1,0,3,2,0,1
95584,571,20,21,18,10,1,4,2,1,1,2,2,2,0,1,1,2
